City,state,All Departments for City Council Video/audio,Planning Department Video/audio,City Council Minutes and Agendas,"Planning, Zoning, Land Use Minutes and Agendas",comments for CC PC and Agenda
Brooklyn Center,Minnesota,"https://reflect-ccx.cablecast.tv/CablecastPublicSite/?site=7 
https://nwsccc-brooklynctr.granicus.com/ViewPublisher.php?view_id=4 ",,"https://brooklyncentermn.portal.civicclerk.com/ 
https://bc-img.ci.brooklyn-center.mn.us/WebLink/Browse.aspx? id=271865&dbid=0&repo=BrooklynCenter 
https://bc-img.ci.brooklyn-center.mn.us/WebLink/Browse.aspx? id=1&dbid=0&repo=BrooklynCenter ",,
University Park,Texas,"https://uptexas.granicus.com/ViewPublisher.php?view_id=11
https://uptexas.legistar.com/Calendar.aspx",https://uptexas.legistar.com/Calendar.aspx,https://uptexas.granicus.com/ViewPublisher.php?view_id=11,https://uptexas.legistar.com/Calendar.aspx,
Port St. John,Florida,"https://www.youtube.com/@SCGTV499/streams 
https://www.facebook.com/BrevardCountyGovt/videos 
https://www.facebook.com/BrevardCountyGovt/live_videos 
https://brevardfl.legistar.com/Calendar.aspx ","https://www.youtube.com/@SCGTV499/streams   
https://www.facebook.com/BrevardCountyGovt/videos 
https://www.facebook.com/BrevardCountyGovt/live_videos 
https://brevardfl.legistar.com/Calendar.aspx ","https://www.brevardclerk.us/meeting-minutes 
https://www.brevardfl.gov/AdvisoryBoardAgendasAndMinutes ","https://www.brevardclerk.us/meeting-minutes 
https://www.brevardfl.gov/AdvisoryBoardAgendasAndMinutes ",
Goleta,California,"https://www.youtube.com/@CityofGoleta1/streams 
https://goleta.granicus.com/ViewPublisher.php?view_id=5 ",https://goleta.granicus.com/ViewPublisher.php?view_id=5,"https://goleta.legistar.com/Calendar.aspx 
https://goleta.granicus.com/ViewPublisher.php?view_id=5","https://goleta.legistar.com/Calendar.aspx 
https://goleta.granicus.com/ViewPublisher.php?view_id=5 ",
,,,,,,
Beverly Hills,California,https://beverlyhills.granicus.com/ViewPublisher.php?view_id=49,https://beverlyhills.granicus.com/ViewPublisher.php?view_id=57,https://beverlyhills.granicus.com/ViewPublisher.php?view_id=49,https://beverlyhills.granicus.com/ViewPublisher.php?view_id=57,
Weatherford,Texas,"https://www.facebook.com/weatherfordtexas/videos 
https://www.facebook.com/weatherfordtexas/live_videos 
https://weatherford.granicus.com/ViewPublisherRSS.php?view_id=4&mode=vpodcast ","https://weatherford.granicus.com/ViewPublisherRSS.php?view_id=4&mode=vpodcast 
https://weatherford.granicus.com/ViewPublisher.php?view_id=4 ",https://weatherford.granicus.com/ViewPublisher.php?view_id=4,https://weatherford.granicus.com/ViewPublisher.php?view_id=4,
Ithaca,New York,"https://www.youtube.com/@CityofIthacaPublicMeetings/streams 
https://www.youtube.com/@CityofIthacaPublicMeetings/videos ","https://www.youtube.com/@CityofIthacaPublicMeetings/streams 
https://www.youtube.com/@CityofIthacaPublicMeetings/videos ",https://lfweb.tompkins-co.org/WebLink/Browse.aspx?dbid=13&id=284619&row=1&cr=1,https://lfweb.tompkins-co.org/WebLink/Browse.aspx?id=293079&dbid=13&repo=CityOfIthaca,
Pearl,Mississippi,https://www.youtube.com/@cityofpearlms6274/streams,,https://pearlms.legistar.com/Calendar.aspx,,
Venice,Florida,https://venice.legistar.com/Calendar.aspx,https://venice.legistar.com/Calendar.aspx,https://venice.legistar.com/Calendar.aspx,https://venice.legistar.com/Calendar.aspx,
Oak Ridge,Tennessee,https://oakridgetn.granicus.com/ViewPublisher.php?view_id=1,"https://oakridgetn.granicus.com/ViewPublisherRSS.php?view_id=1&mode=vpodcast 
https://oakridgetn.granicus.com/ViewPublisher.php?view_id=1 ",https://oakridgetn.granicus.com/ViewPublisher.php?view_id=1,https://oakridgetn.granicus.com/ViewPublisher.php?view_id=1,
Seguin,Texas,https://cityofseguintx.legistar.com/DepartmentDetail.aspx?ID=21648&GUID=DF24496F-E6A8-4945-8DC3-9F1E109ABBBA&Mode=MainBody,https://cityofseguintx.legistar.com/DepartmentDetail.aspx?ID=21656&GUID=169A3260-C573-45FA-96C0-F8967B8E336B&R=e91f7ed0-3f69-408c-b344-9ea6178f0a7d,https://cityofseguintx.legistar.com/Calendar.aspx,https://cityofseguintx.legistar.com/Calendar.aspx,
Niles,Illinois,https://play.champds.com/nilesil/archive/2,,"https://www.vniles.com/AgendaCenter
https://niles.granicus.com/ViewPublisher.php?view_id=2",https://www.vniles.com/AgendaCenter,
